85,1
90,3
85,1
90,3
80,3
95,3
95,1
95,1
95,2
90,3
90,1
85,3
90,1
90,3
85,3
90,3
95,3
90,3
95,1
90,2
90,2
95,1
95,2
90,3
85,2
90,3
90,2
90,3
90,3
95,3
90,2
95,2
90,2
90,1
90,3
85,3
85,3
90,3
95,1
90,3
85,3
95,2
85,3
90,2
80,3
90,2
90,1
85,3
95,2
90,2
85,0
95,3
90,1
70,3
95,0
90,3
95,0
85,1
95,2
95,2
95,1
85,2
90,3
85,3
95,0
95,1
90,3
95,0
90,2
90,3
90,1
90,1
95,3
90,3
90,1
90,1
85,3
85,2
95,1
90,2
95,1
90,1
90,1
95,1
90,1
95,0
90,3
90,2
90,3
90,2
90,1
90,3
90,0
95,1
90,2
95,2
90,3
90,1
95,2
90,1
90,1
95,0
90,2
90,3
90,2
90,3
90,1
90,2
90,1
95,1
90,2
75,3
95,1
90,2
90,2
95,2
80,3
80,2
90,2
95,1
90,2
90,2
